pl_name,stars,moons,disc_year,orbital period,radius,mass,solar radius,solar mass,rotational velocity,distance,gaia magnitude
Qatar-10 b,1,0,2019,1.645321,17.295,233.92288,1.25,1.16,5.9,559.068,12.6978
Qatar-2 b,1,0,2011,1.33711647,14.056,792.635,0.78,0.74,3.28,181.374,13.0276
Qatar-3 b,1,0,2017,2.5079204,12.285,1369.8473,1.27,1.15,10.2,735.601,12.8203
Qatar-4 b,1,0,2017,1.8053564,12.722,1938.763,0.85,0.9,7.1,329.036,13.4114
Qatar-5 b,1,0,2017,2.8792319,12.408,1373.0256,1.08,1.13,4.5,367.658,12.5241
Qatar-6 b,2,0,2017,3.506195,11.904,212.31044,0.72,0.82,2.9,100.848,11.1249
Qatar-7 b,1,0,2019,2.032046,19.055,597.5204,1.56,1.41,13.8,705.981,12.9275
Qatar-8 b,1,0,2019,3.71495,14.404,117.91493,1.32,1.03,2.7,281.498,11.3494
Qatar-9 b,1,0,2019,1.540731,11.31,378.2177,0.7,0.72,4.3,213.771,13.6871
ROXs 12 b,2,0,2013,11.390966800000001,12.2,5085.0,1.07,0.87,7.2,136.65,13.2655
ROXs 42 B b,2,0,2013,11.390966800000001,12.5,2860.0,1.34,1.0,5.66956591796875,143.59,13.1164
RR Cae b,2,0,2012,4343.5,13.0,1334.886,0.19,0.44,5.66956591796875,21.1916,13.6576
Ross 128 b,1,0,2017,9.8658,1.11,1.4,0.2,0.17,5.66956591796875,3.37454,9.59067
Ross 458 c,2,0,2010,11.390966800000001,14.011,1906.98,0.56,0.56,5.66956591796875,11.5094,8.90809
Ross 508 b,1,0,2022,10.77,1.83,4.0,0.21,0.18,5.66956591796875,11.2103,12.2066
SPECULOOS-3 b,1,0,2024,0.71912603,0.977,0.894,0.12,0.1,4.2,396.379,15.4023
SR 12 AB c,2,0,2010,11.390966800000001,12.3,4131.62,1.1,0.94,5.66956591796875,112.3172158,12.1811
SWEEPS-11 b,1,0,2006,1.796,12.666,3082.82,1.45,1.1,5.66956591796875,8500.0,13.148
SWEEPS-4 b,1,0,2006,4.2,9.079,1207.7,1.18,1.24,5.66956591796875,8500.0,13.148
TAP 26 b,1,0,2017,10.79,13.5,527.5978,1.17,1.04,68.2,121.402,11.8101
