pl_name,stars,moons,disc_year,orbital period,radius,mass,equilibrium temp,solar radius,solar mass,rotational velocity,distance,gaia magnitude
Kepler-1380 b,1,0,2016,10.3108245,1.43,2.63,786,0.94,0.96,,2462.94,15.6136
Kepler-1381 b,1,0,2016,25.3842686,2.25,5.69,649,0.94,0.96,,1197.04,15.4776
Kepler-1382 b,1,0,2016,16.3583055,1.88,4.19,959,1.72,1.36,,738.261,12.7575
Kepler-1383 b,1,0,2016,13.9093583,1.41,2.57,928,1.44,1.26,,1027.21,13.7077
Kepler-1384 b,1,0,2016,15.36262753,1.94,4.42,608,0.74,0.78,,618,15.446
Kepler-1385 b,1,0,2016,2.88879862,0.85,0.543,1423,1.29,1.15,,688.795,12.8443
Kepler-1386 b,1,0,2016,6.73972381,1.24,2.07,1011,1.03,1.02,6.6,835.882,14.4168
Kepler-1387 b,1,0,2016,2.27952666,0.93,0.749,1123,0.77,0.82,,455.358,14.5804
Kepler-1388 b,1,0,2016,12.2854603,2.59,7.22,434,0.61,0.63,,453.795,16.2941
Kepler-1388 c,1,0,2016,5.53608151,2.26,5.73,566,0.61,0.63,,453.795,16.2941
Kepler-1388 d,1,0,2016,20.9568158,2.86,8.55,363,0.61,0.63,,453.795,16.2941
Kepler-1388 e,1,0,2016,37.6327084,2.46,6.62,299,0.61,0.63,,453.795,16.2941
Kepler-1389 b,1,0,2016,99.2530951,1.77,3.78,300,0.74,0.81,,497.093,14.6836
Kepler-139 b,1,0,2014,15.771044,2.94,5.2879,752,1.3,1.08,,391.038,12.677
Kepler-139 c,1,0,2014,157.072878,3.38,23.2558,350,1.3,1.08,,391.038,12.677
Kepler-139 d,1,0,2023,7.30569992,1.695,4.65808,972,1.1,1.08,,391.038,12.677
Kepler-139 e,1,0,2023,2047.635373,13.6,426.11582,,1.05,1.08,,391.038,12.677
Kepler-1390 b,1,0,2016,6.48021673,1.18,1.76,934,0.98,0.98,,723.431,14.4022
Kepler-1391 b,1,0,2016,54.4092333,1.68,3.46,513,1.1,1.03,,1038.35,13.8283
Kepler-1392 b,1,0,2016,15.1410397,1.96,4.5,714,0.85,0.88,,1117,15.6665
Kepler-1393 b,1,0,2016,2.44357812,0.8,0.437,1249,0.92,0.95,,544.456,13.3324
Kepler-1394 b,1,0,2016,3.93766373,1.39,2.51,1947,2.55,1.64,,640.409,11.7144
Kepler-1395 b,1,0,2016,3.78470649,0.8,0.437,1311,1.23,1.17,,492.894,12.536
Kepler-1396 b,1,0,2016,18.2206421,2.07,4.94,786,1.27,1.18,,1066.46,14.5271
Kepler-1397 b,1,0,2016,47.449955,1.72,3.61,551,1.12,1.09,,1198.25,14.0909
Kepler-1398 b,1,0,2016,2.78815679,0.9,0.666,1510,1.18,1.13,,852.204,13.6605
